店舗名,電話番号,住所,緯度,経度,写真URL,価格
福寿堂,0778-51-0474,福井県鯖江市桜町２丁目６−１２,35.9468406,136.1811359,http://twitpic.com/3ocrwb,550
大黒屋,0778-51-0451,福井県鯖江市本町２丁目１−１３,35.9462492,136.1855772,http://twitpic.com/3octm6,630
萬年堂,0778-51-0230,福井県鯖江市本町１丁目２−１３,35.9451105,136.1859272,http://twitpic.com/3ocv2o,650
栄進堂,0778-51-0471,福井県鯖江市本町２丁目３−３,35.9454687,136.184144,http://twitpic.com/3ocwgc,680
弁慶堂,0778-51-0179,福井県鯖江市柳町４丁目１−１６,35.9466076,136.1909183,http://twitpic.com/3ocysh,650
やまはつ,0778-51-1162,福井県鯖江市北野町２丁目１９－２０,35.9668348,136.1804326,http://twitpic.com/3ooszt,630
福音堂,0778-65-0158,福井県鯖江市河和田町１９－１－９,35.9515249,136.2736896
昭和堂,0778-51-0458,福井県鯖江市本町１丁目１－２１,35.9441301,136.1858745,http://twitpic.com/3oopr4,680
松月堂,0778-62-1303,福井県鯖江市下野田町２８－５０,35.9440291,136.1519776
山海堂,0778-65-0044,福井県鯖江市河和田町２０－７,35.9509834,136.2717898
桂月堂,0778-51-8723,福井県鯖江市下河端町１６－１６－１,35.9692486,136.1894622,http://twitpic.com/3op7mx,480
うさぎや,0778-62-0861,福井県鯖江市持明寺町５－１０－１,35.9635734,136.1476218
安価堂,0778-51-1235,福井県鯖江市神中町１丁目２－１５,35.9687989,136.1955863,http://twitpic.com/3opgct,650
えがわ,0776-22-4952,福井県福井市照手３丁目６－１４,36.0678636,136.2071673
木村餅店,0776-82-0318,福井県坂井市三国町覚善８－５８－４,36.2199032,136.1587283,,550
風月堂,0778-34-0062,福井県丹生郡越前町西田中８−３４,35.9767243,136.129023,,630
竹内菓子舗,0776-36-2456,福井県福井市花堂北２丁目１５−６,36.0409535,136.2130206,,630
香華堂,0776-22-3457,福井県福井市順化２丁目１５−１３,36.0658055,136.2130084,,546
栄雲堂,0778-22-0326,福井県越前市京町１丁目１−２,35.9030818,136.1652692,,780
柿谷商店,0778-22-0249,福井県越前市矢放町７−９−５,35.8869176,136.1809461,,400
丸屋松月堂,0779-88-0573,福井県勝山市本町２丁目２−２４,36.0601061,136.4992176,,700
たつの,0776-22-4693,福井県福井市御幸１丁目１６−３１,36.0573738,136.2293935,,600
江ざ志,0778-22-6047,福井県越前市芝原４丁目５−１７,35.9185658,136.1569945
